"Join_Count,N,10,0","TARGET_FID,N,10,0","JOIN_FID,N,10,0","globalid,C,254","CreationDa,D","Creator,C,254","EditDate,D","Editor,C,254","Facade_Mas,N,19,11","Window_Con,N,19,11","Paint_Cond,N,19,11","Garden_Con,N,19,11","Shed,C,254","is_there_a,C,254","Additional,C,254","SymbolID,C,20","Block_ID,N,19,11","Block_Name,C,254"
1,1,29,f931de71-0bcb-473b-855c-65fffb240813,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,2,No,,,,3190.205,205th & Decatur
1,2,29,cd4fc3fc-3fdf-43e1-81ad-94ad3c7aa9e0,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,5,No,,,,3190.205,205th & Decatur
1,3,29,dad0a9da-1f13-4a74-8869-15c1924ab0f8,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,3,No,,,,3190.205,205th & Decatur
1,4,29,6c7012af-e71d-4b17-8140-e856691b67bc,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,5,5,5,No,,,,3190.205,205th & Decatur
1,5,29,c7ad3fdb-9ceb-4a72-8262-48aefce2cef0,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,2,No,,,,3190.205,205th & Decatur
1,6,29,88ce4f6f-451c-44ff-856e-bcbd56ceada9,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,2,No,,Chipped bricks,,3190.205,205th & Decatur
1,7,29,16673fdd-02c2-4272-8763-ea02cbcd7a7e,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,5,5,3,No,,,,3190.205,205th & Decatur
1,8,29,5fb11b3e-dd43-4bc1-8759-28e1659eb33f,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,2,4,4,0,No,,Huge crack in foundation,,3190.205,205th & Decatur
1,9,29,3e420a38-4459-433b-8f18-d8fb19cdbbcc,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,5,4,0,No,,,,3190.205,205th & Decatur
1,10,29,4419a2ad-3495-490f-8357-4c1594063fc6,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,4,0,No,,,,3190.205,205th & Decatur
1,11,29,67a54afc-a0b3-4f75-8631-80264a011c75,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,3,0,No,,Apparent cracks which have been fix,,3190.205,205th & Decatur
1,12,29,46b80957-3ed4-4f67-8beb-ae05bf2e1e9b,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,3,No,,"Broken window frame, massive discoloration on facade",,3190.205,205th & Decatur
1,13,20,483e4e46-790f-4046-872f-c52647da8dac,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,2,No,,,,0,E 207th Schoolfront
1,14,20,ded04479-21a6-456a-8b43-2e067a71d101,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,2,0,0,No,,Few broken windows,,0,E 207th Schoolfront
1,15,19,ffd7c0e8-36d0-45a9-8397-3e0ebd55a417,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,3,3,No,,,,3240.2071,E 207th & Hull
1,16,19,60f2ef4a-921a-4389-8a02-fcd1525b2617,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,1,2,0,No,,Boarded up Windows and Chipped Paint,,3240.2071,E 207th & Hull
1,17,19,54c58b85-5611-434e-8384-88de6492d4e3,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3240.2071,E 207th & Hull
