OBJECTID,COUNTY_NAME,MUNI_NAME,SWIS,PARCEL_ADDR,PRINT_KEY,SBL,CITYTOWN_NAME,CITYTOWN_SWIS,LOC_ST_NBR,LOC_STREET,LOC_UNIT,LOC_ZIP,PROP_CLASS,ROLL_SECTION,LAND_AV,TOTAL_AV,FULL_MARKET_VAL,YR_BLT,FRONT,DEPTH,SQ_FT,ACRES,SCHOOL_CODE,SCHOOL_NAME,SEWER_TYPE,SEWER_DESC,WATER_SUPPLY,WATER_DESC,UTILITIES,UTILITIES_DESC,BLDG_STYLE,BLDG_STYLE_DESC,HEAT_TYPE,HEAT_TYPE_DESC,FUEL_TYPE,FUEL_TYPE_DESC,SQFT_LIVING,GFA,NBR_KITCHENS,NBR_FULL_BATHS,NBR_BEDROOMS,USED_AS_CODE,USED_AS_DESC,AG_DIST_CODE,AG_DIST_NAME,PRIMARY_OWNER,MAIL_ADDR,PO_BOX,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ADD_OWNER,ADD_MAIL_ADDR,ADD_MAIL_PO_BOX,ADD_MAIL_CITY,ADD_MAIL_STATE,ADD_MAIL_ZIP,BOOK,PAGE,GRID_EAST,GRID_NORTH,MUNI_PARCEL_ID,SWIS_SBL_ID,SWIS_PRINT_KEY_ID,ROLL_YR,SPATIAL_YR,OWNER_TYPE,NYS_NAME,NYS_NAME_SOURCE,DUP_GEO,CALC_ACRES,Shape_Length,Shape_Area
1,Bronx,Bronx,600100,4 PEACE STREET,,2056520175,Bronx,600100,4,PEACE STREET,,,01,,21960,67620,,1986,122,149,18227,,11,,,,,,,,A3,Large Suburban Residence,,,,,,4313,,,,,,,,4 PEACE STREET HOLDINGS LLC,,,,,,,,,,,,,,1036508,262781,,2056520175,,2020,2020,8,,,,0.446200926935043,170.360734321137,1805.71108684791
2,Bronx,Bronx,600100,4344 BOSTON ROAD,,2056530074,Bronx,600100,4344,BOSTON ROAD,,,05,,54450,218250,,1932,121,80,4851,,11,,,,,,,,K1,One Story Store Building,,,,,,3000,,,,,,,,4344 BOSTON POST RD LLC,,,,,,,,,,,,,,1034285,263571,,2056530074,,2020,2020,8,,,,0.112338112138598,105.901852117835,454.616210588377
3,Bronx,Bronx,600100,3544 MC OWEN AVENUE,,2056550019,Bronx,600100,3544,MC OWEN AVENUE,,,01,,24000,115560,,1939,100,100,10000,,11,,,,,,,,B2,Frame,,,,,,7152,,,,,,,,3544 MCOWEN LLC,,,,,,,,,,,,,,1034152,263194,,2056550019,,2020,2020,8,,,,0.237504356165259,124.028262656472,961.146029095357
4,Bronx,Bronx,600100,2541 HOLLERS AVENUE,,2056550001,Bronx,600100,2541,HOLLERS AVENUE,,,01,,9780,34680,,1965,18,85,1565,,11,,,,,,,,B9,"Miscellaneous (City Type, Old, etc.)",,,,,,2160,,,,,,,,BENGAR PROPERTIES LLC,,,,,,,,,,,,,,1034388,262830,,2056550001,,2020,2020,8,,,,0.0345655801603572,62.6036443438128,139.881940065924
5,Bronx,Bronx,600100,3515 MC OWEN AVENUE,,2056550144,Bronx,600100,3515,MC OWEN AVENUE,,,01,,9720,32160,,1965,30,100,3000,,11,,,,,,,,A5,Attached or Semi-Detatched,,,,,,1960,,,,,,,,BENGAR PROPERTIES LLC,,,,,,,,,,,,,,1034242,262826,,2056550144,,2020,2020,8,,,,0.0718639117219801,79.7873457734946,290.822932690882
6,Bronx,Bronx,600100,4300 BOSTON ROAD,,2056550112,Bronx,600100,4300,BOSTON ROAD,,,05,,306000,411750,,1975,200,150,30000,,11,,,,,,,,K1,One Story Store Building,,,,,,3000,,,,,,,,4300 BOSTON ROAD LLC,,,,,,,,,,,,,,1033830,263260,,2056550112,,2020,2020,8,,,,0.708263332188463,216.883592743976,2866.24001461731
7,Bronx,Bronx,600100, BOSTON ROAD,,2056550314,Bronx,600100,,BOSTON ROAD,,,,,120600,161100,,1960,50,351,24100,,11,,,,,,,,Z9,Other,,,,,,1200,,,,,,,,"4301 BOSTON POST ROAD, LLC",,,,,,,,,,,,,,1033508,263711,,2056550314,,2020,2020,8,,,,0.601220242913962,334.653163504164,2433.05200131325
8,Bronx,Bronx,600100,4330 BOSTON ROAD,,2056550030,Bronx,600100,4330,BOSTON ROAD,,,05,,379800,742050,,1989,200,100,20000,,11,,,,,,,,K5,"Diners, Franchised Type Stand",,,,,,2960,,,,,,,,LJ24 LLC,,,,,,,,,,,,,,1034018,263440,,2056550030,,2020,2020,8,,,,0.466425419969321,184.121858741016,1887.55670637346
9,Bronx,Bronx,600100,4325 BOSTON ROAD,,2056550300,Bronx,600100,4325,BOSTON ROAD,,,05,,386100,663750,,1972,266,347,51839,,11,,,,,,,,K1,One Story Store Building,,,,,,2075,,,,,,,,POST ROAD PLAZA FEE LLC,,,,,,,,,,,,,,1033833,263673,,2056550300,,2020,2020,8,,,,1.07548172445254,333.731106194114,4352.32012377457
10,Bronx,Bronx,600100,4340 BOSTON ROAD,,2056530067,Bronx,600100,4340,BOSTON ROAD,,,05,,191700,440100,,1969,81,150,14732,,11,,,,,,,,K1,One Story Store Building,,,,,,3743,,,,,,,,"ARELESS REALTY, LLC",,,,,,,,,,,,,,1034204,263550,,2056530067,,2020,2020,8,,,,0.327796150890324,146.50042499836,1326.54395846851
