BlockID...1,Avg_Facade,BlockID...3,Avg_Window
0,3.7,0,3.775
1.01,5,1.01,5
15.1,4.2,15.1,4.4
16.208,4.363636363636363,16.208,3.909090909090909
50.1,3.6666666666666665,50.1,3.6666666666666665
50.66,4.5,50.66,4
75.208,4.3,75.208,4.5
85.1,4.2,85.1,4
100.204,4,100.204,4.5
100.5,4.333333333333333,100.5,3.6666666666666665
201.1,3.875,201.1,4
201.2,4.25,201.2,4
201.206,2.8,201.206,4
204,3.6666666666666665,204,4
207.1,4.769230769230769,207.1,4.3076923076923075
207.2,4.5,207.2,4
210,4,210,4
213,4,213,4
3020.01,2.7777777777777777,3020.01,2.7777777777777777
3040.1,3.7857142857142856,3040.1,3.7142857142857144
3040.2,4.75,3040.2,4.5625
3120.2041,4.59375,3120.2041,4.53125
3130.101,3.75,3130.101,3.5
3130.204,3,3130.204,4
3130.2042,3.7857142857142856,3130.2042,3.7857142857142856
3160.206,3.75,3160.206,3.9375
3180.2,4.818181818181818,3180.2,4.2727272727272725
3190.205,3.357142857142857,3190.205,4
3190.2051,4.470588235294118,3190.2051,4.176470588235294
3200.20501,4.5,3200.20501,4.25
3230.1,2.857142857142857,3230.1,3.4285714285714284
3240.207,3.717948717948718,3240.207,3.8461538461538463
3240.2071,4,3240.2071,3.9615384615384617
3240.2072,4.7727272727272725,3240.2072,4.2727272727272725
3300.208,4.136363636363637,3300.208,4.5
3300.2081,4.470588235294118,3300.2081,4.588235294117647
3300.2082,4,3300.2082,3.75
3300.209,3.888888888888889,3300.209,3.6666666666666665
3300.20901,4.142857142857143,3300.20901,4.285714285714286
3300.2091,3.5,3300.2091,3.875
3300.2092,4.2,3300.2092,4.257142857142857
3400.2,3.6842105263157894,3400.2,3.789473684210526
3400.21,4.25,3400.21,4.166666666666667
3400.3,3.5555555555555554,3400.3,4.222222222222222
3500.02,3.4,3500.02,3.8
3500.03,4.333333333333333,3500.03,4.222222222222222
3520.2,4.153846153846154,3520.2,4.538461538461538
3520.3,3.9,3520.3,3.9
3520.4,3.6,3520.4,4
3520.5,3.7857142857142856,3520.5,3.9285714285714284
3520.6,3.6,3520.6,4.2
3540.1,4.5,3540.1,4.5
3570.6,3.8333333333333335,3570.6,3.8333333333333335
3590.4,1,3590.4,4
